MMA, instructional or competition	Starting Position 	Type of technique	Technique name	Video source url	Tags	Fighters doing the technique	Fighter receiving the technique	GIF Link	GIF filename	Needs review? 
Instructional	Half guard (top)	Submission	Jumping anaconda	https://youtu.be/Nw2xfELw4wc?t=580	jumping anaconda, guard pass, submission, anaconda, Rafael Mendes,	Rafael Mendes	Unknown	https://media.giphy.com/media/8P7y2ARUKtxe3e68o9/giphy.gif	animation.gif	
Instructional	Standing	Takedown	Snap down from collar tie	https://www.youtube.com/watch?v=JKGqCXgs8-g&feature=youtu.be&t=32	snap down, collar tie, head neck control, front headlock, lead leg back	Jordan Burroughs	Unknown	https://media.giphy.com/media/WwfQz6zkMECCqXD8Oc/giphy.gif	animation (38).gif	
MMA	Turtle (top)	Submission	Anaconda	https://www.youtube.com/watch?v=YkCCORoSsn8	front headlock, turtle, anaconda, arm triangle, gator roll,	Phil Davis	Alexander Gustafsson	https://media.giphy.com/media/4Hvww95rOMMmi9EvYw/giphy.gif	animation (91).gif	
Instructional	Turtle (top)	Submission	Anaconda	https://www.youtube.com/watch?v=3FdIVnyUUE8&feature=youtu.be&t=89	front headlock, turtle, anaconda, arm triangle, gator roll,	Ricky Lundell	Cael Sanderson	https://media.giphy.com/media/i3oXSaSuQiKGPp5oDX/giphy.gif	animation (92).gif	
Instructional	Standing	Guard pass	Knee slice guard pass	https://www.youtube.com/watch?v=3yyc7ZdoBVY	knee slice, knee slide, knee cut, underhook, guard pass, half guard,	Gustavo Gasperin	Unknown	https://media.giphy.com/media/3sdERDhDH76YzRMsyO/giphy.gif	animation (96).gif	
Instructional	Standing	Guard pass	Knee slice guard pass	https://www.youtube.com/watch?v=Gr2FoVttm7U	knee slice, knee slide, knee cut, underhook, guard pass, half guard,	Rafael Mendes	Unknown	https://media.giphy.com/media/29JRLgYUGSYxQDADCp/giphy.gif	animation (95).gif	
Instructional	Standing	Guard pass	Knee slice guard pass	https://www.youtube.com/watch?v=RnfqKQa8FOI	knee slice, knee slide, knee cut, underhook, guard pass, half guard,	Dean Lister	Unknown	https://media.giphy.com/media/SiM1AkrOj4kB6h6171/giphy.gif	animation (94).gif	
Instructional	Standing	Guard pass	Knee slice guard pass	https://www.youtube.com/watch?v=K2Zd6EjGIlU	knee slice, knee slide, knee cut, underhook, guard pass, half guard,	Firas Zahabi	Unknown	https://media.giphy.com/media/BpE6W59rGb0tRH9dyO/giphy.gif	animation (93).gif	
MMA	Standing	Guard pass	Knee slice guard pass	https://www.mma-core.com/videos/GSP_vs_Dan_Hardy_Full_Fight_UFC_111_Part_2/10195579?ref=related_videos_jwplayer	knee slice, knee slide, knee cut, underhook, guard pass, half guard,	GSP	Dan Hardy	https://media.giphy.com/media/1xmT2HFL9CHuct3F3h/giphy.gif	animation (97).gif	
Instructional	Half guard (bottom)	Sweep	Darce counter sweep	https://www.youtube.com/watch?v=gl-SJlfjSDU	Darce choke, counter, sweep, half guard, underhook,	Chewy	Unknown	https://media.giphy.com/media/C9xZiDwFDkdW6QGysl/giphy.gif	animation (98).gif	
MMA	Half guard (top)	Submission	Darce choke	https://www.youtube.com/watch?v=daTZwOV3FjQ&feature=youtu.be&t=251	Darce choke, top half guard,	Brendan Schaub	Matt Mitrione	https://media.giphy.com/media/7YCz9bPosdx9FZSyOb/giphy.gif	animation (99).gif	
Instructional	Half guard (top)	Submission	Darce choke	https://www.youtube.com/watch?v=tja1ct3Ps94	Darce choke, top half guard,	Steffan Kestling	Unknown	https://media.giphy.com/media/28Nclu9VwpAHRyz5Vu/giphy.gif	animation (100).gif	
Instructional	Half guard (top)	Submission	Darce choke	https://www.youtube.com/watch?v=TomfkAhqnlI	Darce choke, top half guard,	Gerbil	Unknown	https://media.giphy.com/media/jyPpe4we1XblvobASw/giphy.gif	animation (101).gif	
Instructional	Half guard (top)	Submission	Darce choke	https://www.youtube.com/watch?v=GUNVvR6xy-U	Darce choke, top half guard,	Ricardo Almeida	Bernardo Faria	https://media.giphy.com/media/eiHwJQdtshEDKTcyoV/giphy.gif	animation (102).gif	
Instructional	Turtle (top)	Submission	Darce choke	https://www.youtube.com/watch?v=GUNVvR6xy-U	Darce choke, top turtle, front headlock,	Ricardo Almeida	Bernardo Faria	https://media.giphy.com/media/eiHwJQdtshEDKTcyoV/giphy.gif	animation (102).gif	
Instructional	Mount (bottom)	Escape 	Trap and roll mount escape	https://www.youtube.com/watch?v=NkUO9Gw5S1s	trap and roll, upa, mount escape	Ryron Gracie	Rener Gracie	https://media.giphy.com/media/ujSryDXRgn7xY5vYUj/giphy.gif	animation (107).gif	
Instructional	Mount (top)	Submission	Americana	https://www.youtube.com/watch?v=VOiFJf8VrZI	americana, shoulder lock, figure four, figure 4,			https://media.giphy.com/media/4Q1Jcm7ZdUFG0Qp7R7/giphy.gif	animation (108).gif	
MMA	Mount (top)	Submission	Americana					https://media.giphy.com/media/9r589SJfogIBYQP7YK/giphy.gif		
Instructional	Mount (top)	Submission	Kata gatame	https://www.youtube.com/watch?v=P0cJJXW0XeE	kata gatame, arm triangle			https://media.giphy.com/media/45frpQrc5fWJRd4z5R/giphy.gif	animation (110).gif	
MMA	Mount (top)	Submission	Kata gatame	https://www.youtube.com/watch?v=C1cUWIo8gto	kata gatame, arm triangle	Travis Browne	Chad Griggs	https://media.giphy.com/media/bSRXjfw4j8Txl2M5R5/giphy.gif	animation (111).gif	
Instructional	Standing	Submission	Arm drag to RNC	https://www.youtube.com/watch?v=ApCMAy0gXnA	arm drag, RNC, rear naked choke,			https://media.giphy.com/media/WNWgOLyWoSM0Cez9ah/giphy.gif	animation (112).gif	
Instructional	Mount (top)	Control	Gift wrap		gift wrap, mount, armbar			https://media.giphy.com/media/4Z5vYv0V6wpA6wu2OA/giphy.gif	animation (103).gif	
Instructional	Mount (top)	Control	Gift wrap		gift wrap, mount,			https://media.giphy.com/media/wsVB9a2r8CceNmjxEi/giphy.gif	animation (104).gif	
Instructional	Mount (top)	Submission	Gift wrap		gift wrap, mount, armbar			https://media.giphy.com/media/4Z5vYv0V6wpA6wu2OA/giphy.gif	animation (103).gif	
Instructional	Standing	Takedown	Ouchi Gari (inner leg reap) no gi push variation					https://media.giphy.com/media/7FfMPa4Yy9XPwjkctb/giphy.gif	animation (105).gif	
Instructional	Standing	Takedown	Ouchi Gari (inner leg reap) no gi					https://media.giphy.com/media/1etPukU1nAP2Gd6Z6s/giphy.gif	animation (106).gif	
Instructional	Standing	Takedown	Osoto Gari no gi	https://www.youtube.com/watch?v=4ERBqK4zcI4	no gi, leg sweep, outside, inside, osoto gari, mule kick,			https://media.giphy.com/media/xlqki1lOOXHIvR9BzX/giphy.gif		
Instructional	Standing	Takedown	Kimura and sumi gaeshi counter to standing back clinch		roll over, sacrifice throw, sumi gaeshi, kimura, counter, back take, back clinch,			https://media.giphy.com/media/jHfZvNrBZuaRTWI2RY/giphy.gif		
Instructional	Mount (top)	Submission	Armbar from mount	https://www.youtube.com/watch?v=Uv4oqC6HoH0&feature=youtu.be	armbar from mount, walk the hands, s mount, s-mount, 			https://media.giphy.com/media/3DsR6ktJo6ffgEDp02/giphy.gif	animation (115).gif	
Instructional	Turtle (top)	Submission	Anaconda to darce	https://www.youtube.com/watch?v=G3MRCCrK6Z0&feature=youtu.be&t=187	anaconda, front headlock, darce, transition, sprawl,	Gustavo Gasperin	Unknown	https://media.giphy.com/media/25DDDVuXTTDmAY3ATO/giphy.gif	animation (116).gif	
MMA	Mount (top)	Submission	Armbar		armbar, RNC, hand behind knee, armbar defense, lock breaking, defense counter, leg over head,	Islam Mackhachev	Unknown	https://media.giphy.com/media/YUGFTjlfYvPRV3Wfxa/giphy.gif	gif1.gif	
Instructional	Side control (bottom)	Escape	Kesa gatame escape		Kesa gatame, headlock, legs over head	Stefan Kestling	Unknown	https://media.giphy.com/media/pHYggIOo6awuQZx570/giphy.gif		
Instructional	Side control (bottom)	Escape	Kesa gatame escape		Kesa gatame, headlock, leg hook	Roy Dean	Unknown	https://media.giphy.com/media/1kTU6hKeRyIFwl0QSx/giphy.gif		
Instructional	Guard (top)	Drill sequence	x pass to back take to one hand choke to back escape to half guard to jumping anaconda to darce		standing guard pass, x-pass, xpass, x pass, back take, back control, hand fight, one hand choke, one hand RNC, one hand rear choke, back escape back to the mat, slide out, half guard underhook, under hook, jumping half guard pass, jumping anaconda, punch through darce choke	Albert	Jack	https://media.giphy.com/media/RIUNIS9f79h2DDf3gr/giphy.gif		
Instructional	Guard (top)	Drill sequence	knee slice to mount to armlock to armlock escape to side control to elbow push side control escape		standing guard pass, knee slice, knee slide, knee cut, arm isolation, walk with the hands, spider hand walk, mount, s-mount, s mount, armbar, pendulum armbar escape, come up on the knees, stack armbar defense, hand behind the head, armbar defense to side control, side control hand positioning, shoulder push, elbow push side control escape	Albert	Jack	https://media.giphy.com/media/1ircirP1r0F1R24wAG/giphy.gif		
MMA	Guard (bottom)	Sweep	Tripod sweep		grab ankle, push hip, 	Anthony Pettis	Jeremy Stephens	https://media.giphy.com/media/9Dm6RIcc2bs9yok0ac/giphy.gif		
MMA	Guard (bottom)	Sweep	Tripod sweep		grab ankle, push hip, 	Anthony Pettis	Dustin Poirier	https://media.giphy.com/media/khUn2xkjAqd3ZGmDzE/giphy.gif		
Instructional	Half guard (bottom)	Sweep	Anti-darce	https://www.youtube.com/watch?v=uR90yYoddX8&feature=youtu.be	antidarce, anti-darce, anti darce, grab hand, c grip, pinza, elbow on biceps, sweep, underhook,	Gerbil	Unknown	https://media.giphy.com/media/1r94Ok6iueMoPXZgm8/giphy.gif		
Instructional	Half guard (bottom)	Sweep	Old school sweep	https://www.youtube.com/watch?v=l79h-oYC96k&feature=youtu.be	underhook, grab the foot, old school, sweep,	Geo Martinez	Unknown	https://media.giphy.com/media/9JnFb3ZJKZY9NIQdCC/giphy.gif		
Instructional	Half guard (bottom)	Sweep	Half guard sweep	https://youtu.be/65oxIM5llsk?t=539	underhook, grab the leg, sweep,	Lachland Giles	Unknown	https://media.giphy.com/media/404ylR1saEawGvynD3/giphy.gif		
Instructional	Half guard (bottom)	Back take	Half guard back take from hip switch	https://www.youtube.com/watch?v=aRXvpFhfetc&feature=youtu.be&t=143	back take, get up on the elbow, switch hip, half butterfly	Unknown	Unknown	https://media.giphy.com/media/KyzaIIcCyNhyPmeSXQ/giphy.gif		
Instructional	Standing	Takedown	Takedown from the back	https://www.youtube.com/watch?v=trVa6kA4ATc	mat return, takedown from the back, pinch the hips,	Unknown	Unknown	https://media.giphy.com/media/31Zk2mLW0GE0sjqX67/giphy.gif		
Instructional	Turtle (top)	Back take	Back take from top turtle side	https://www.youtube.com/watch?v=dd0e1Z4kKl4	back take, shoot far knee in,	Jason Scully	Unknown	https://media.giphy.com/media/65IQAvjViX3XPnMVi7/giphy.gif		
MMA	Standing	Takedown	Ouchi gari	https://www.youtube.com/watch?v=CsLSxHxxWRQ	ouchi gari, inside leg trip, underhook	Khabib Nurmagomedov	Edson Barbosa	https://media.giphy.com/media/65FCknMG1u3Lv4UHYH/giphy.gif		
